id,title,body,created_at,rate,recommendation_status,is_buyer,product_id,advantages,disadvantages,likes,dislikes,seller_title,seller_code,true_to_size_rate
49541440,خیلی عالیه ,پیشنهاد میکنم ,2 خرداد 1402,5.0,recommended,True,6505713,,,0,0,دیجی‌کالا,5A52N,
25614636,کتاب,تصویرسازی و کیفیت کاغذ و متن خیلی خوب هستند. کاش اسامی آسونتر بودند و من حتما کتابهای پشت جلد هم میخرم...,30 شهریور 1400,0.0,recommended,True,1743432,['تصویرسازی و متن کتاب و کیفیت کاغذ و قیمت عالی'],['ندارد'],1,0,سیاره ی کتاب,AJ9XP,
19155784,کرم عش آلوئه ورا,من مدتهاست بعنوان کرم مرطوب کننده دست، از این برند استفاده میکنم که هم در مقایسه با برندهای دیگه  هم قیمتش خوبه هم کیفیتش قابل قبوله. البته جوجوبا و آووکادو و زیتون این برند هم خوبه,17 فروردین 1400,4.0,recommended,True,1096464,,,0,0,بازرگانی باتیس,ACN47,
54371206,,"زخم صورتم که گود شده بود با استفاده مداوم روزانه حد اقل ۸بار  طی ۳۰ روز بهتر شد 
وقتی که زخم ها می افتد باید از کرم استفاده بشه
",15 مهر 1402,5.0,recommended,True,1810442,,,0,0,شونیا,EXNF7,
54536587,,خوش بو و رولش راحت میچرخه ,20 مهر 1402,5.0,recommended,True,3358296,,,0,0,آیرین پلاست,C9YXK,
54464372,,"بوش خوب بود
کیفیتش به نسبت قیمت خوب بود",18 مهر 1402,3.0,recommended,True,3358296,,,0,0,دیجی‌کالا,5A52N,
54434646,,خوب بود,17 مهر 1402,4.0,recommended,True,3358296,,,0,0,رامش کالا,D9HTG,
51063005,معمولی بود ,معمولی,9 تیر 1402,4.0,no_idea,True,7712244,,,0,0,بازرگانی فارس,5AFFF,
50055515,,کاربردی بود,17 خرداد 1402,5.0,recommended,True,7712244,,,0,0,نوکوپو,E9X2K,
48722302,,عالیه,9 اردیبهشت 1402,5.0,,True,7712244,,,0,0,بازرگانی فارس,5AFFF,
46902440,,عالی و کاربردی ,20 اسفند 1401,5.0,recommended,True,7712244,,,0,0,بازرگانی فارس,5AFFF,
46773378,,نسبتا خوبه ن خیلی,18 اسفند 1401,5.0,,True,7712244,,,0,0,بازرگانی فارس,5AFFF,
46638987,,با کیفیت,15 اسفند 1401,4.0,recommended,True,7712244,,,0,0,نوکوپو,E9X2K,
46482076,عالی و موثر,عالی بود ,13 اسفند 1401,5.0,recommended,True,7712244,,,0,0,نوکوپو,E9X2K,
46397244,عالی,بسیار خوب بود ,11 اسفند 1401,5.0,recommended,True,7712244,,,0,0,بازرگانی فارس,5AFFF,
46280952,عالیییی,عالییییییی,9 اسفند 1401,5.0,,True,7712244,,,0,0,بازرگانی فارس,5AFFF,
46091263,اسکراب,دونه هاش ریزه برای بدن مناسب نیس فق واس صورت مناسبه,5 اسفند 1401,5.0,,True,7712244,,,0,0,نوکوپو,E9X2K,
46063640,,خوبه,4 اسفند 1401,4.0,,True,7712244,,,0,0,نوکوپو,E9X2K,
45619872,,عالی,23 بهمن 1401,5.0,recommended,True,7712244,,,1,0,نوکوپو,E9X2K,
45499818,جابه جا فرستادن,من اینو سفارش دادم، یه مدل دیگه با قیمت کمتر فرستادن.حجمشم وقتی درشو باز میکنی خیلی کم میشه.همش هواست,20 بهمن 1401,3.0,no_idea,True,7712244,,,0,0,آرالیا بیوتی,ADM47,
45247388,عالی,قبلا هم از این مارک استفاده کردم پوست من رو کمی میسوزونه که بخاطر نازک بودن پوستمه اما واقعا تاثیر گذاره ولی بیشتر از هفته ای یک بار استفاده نشه چون پوست رو حساس می‌کنه و ممکنه واکنش بده و جوش بزنید,14 بهمن 1401,5.0,recommended,True,7712244,,,0,0,بازرگانی فارس,5AFFF,
45220032,,"خیلی بوی گلاب و الکل میده. 
غیر بوش در کل خوبه. ",13 بهمن 1401,3.0,recommended,True,7712244,,,0,0,بازرگانی فارس,5AFFF,
39436436,,بوش خیلی خوب نیست ,28 شهریور 1401,3.0,no_idea,True,7712244,,,0,0,نوکوپو,E9X2K,
